Class,Precision,Recall,F1-Score,Support
DDoS,0.9999479166666667,0.9998437662743465,0.999895838758398,19202
DoS GoldenEye,0.9974126778783958,0.9993519118600129,0.9983813531887342,1543
DoS Hulk,0.9997300111852508,0.9997300111852508,0.9997300111852508,25927
DoS Slowhttptest,0.9961587708066582,0.9923469387755102,0.9942492012779552,784
DoS slowloris,0.9901356350184957,0.9950433705080545,0.992583436341162,807
FTP-Patator,1.0,1.0,1.0,890
Heartbleed,1.0,1.0,1.0,2
Infiltration,1.0,1.0,1.0,6
PortScan,0.9998531679025034,0.9997063789180063,0.9997797680223168,13623
SSH-Patator,1.0,1.0,1.0,483
